 114 4795.27 209.19
resource 1 199.87 197.69
tcsh 3 1800.87 4.30
telnetd 1 1000.62 0.52
rlogind 1 597.75 0.48
telnet 1 975.37 0.42
accton 1 0.33 0.23
rshd 1 205.25 0.22
tset 2 0.48 0.39
sh 13 5.41 2.17
id 2 0.31 0.20
grep 4 0.86 0.38
ls 1 0.16 0.09
w 1 0.25 0.09
sed 2 0.28 0.17
biff 1 0.08 0.08
lastcomm 2 0.20 0.14
sendmai* 2 0.20 0.12
cut 4 0.44 0.23
mesg 2 0.22 0.09
date 1 0.09 0.05
uname 4 0.20 0.17
atrun 11 0.52 0.38
stty 1 0.16 0.03
hostname 1 0.91 0.03
tcsh* 4 0.12 0.12
cron* 11 3.31 0.14
[ 36 0.98 0.23
