 227 9869.44 1388.86
resource 7 1330.50 1170.80
troff 8 310.56 159.14
grotty 8 309.36 24.55
col 8 313.14 6.86
tcsh 2 3535.00 1.59
more 8 312.31 5.72
ps 9 5.88 3.12
cc1 7 3.23 2.42
tbl 8 298.83 2.12
accton 1 0.42 0.25
cc 7 14.98 1.05
ld 7 5.97 1.05
cpp 7 1.52 1.02
man 8 316.87 1.05
sh 20 317.91 1.94
pwd 1 0.11 0.09
awk 9 4.34 0.83
as 7 1.08 0.64
grep 10 5.66 0.84
sendmai* 2 0.34 0.16
groff 8 313.27 0.56
cat 8 286.39 0.52
lastcomm 2 0.25 0.12
sh* 8 314.17 0.45
date 18 1.14 0.86
sleep 15 1861.94 0.53
atrun 12 0.66 0.39
cron* 12 3.61 0.19
