 266 11076.78 1355.87
resource 7 1280.75 1109.73
troff 9 347.41 178.12
grotty 9 345.86 27.70
col 9 350.00 7.73
tcsh 2 3972.00 1.70
more 9 348.89 6.41
cc1 8 3.88 2.69
tbl 9 333.53 2.41
ps 20 9.34 5.12
accton 1 0.34 0.25
rexec 1 205.75 0.16
cpp 8 2.03 1.12
cc 8 17.67 1.12
ld 8 6.61 1.12
man 9 353.41 1.14
pwd 4 0.83 0.41
awk 10 5.55 0.97
sh 21 354.62 2.00
uptime 2 0.31 0.19
as 8 1.22 0.70
grep 11 6.81 0.92
groff 9 349.94 0.67
lastcomm 2 0.27 0.14
sendmai* 2 1.17 0.14
cat 9 319.28 0.55
sh* 9 351.05 0.50
date 20 1.36 0.95
sleep 17 2102.83 0.59
atrun 12 0.64 0.41
cron* 12 3.44 0.19
rexec* 1 0.00 0.00
