 88 51922.02 64.89
slave1 2 186.33 54.23
tcsh 1 25856.00 4.47
rlogind 1 25864.00 1.19
accton 1 0.33 0.20
sh 15 4.52 2.45
ruptime 1 0.84 0.12
id 1 0.19 0.11
tset 1 0.16 0.09
grep 3 1.23 0.28
ls 1 0.36 0.09
w 1 0.25 0.09
sed 1 0.86 0.08
biff 1 0.14 0.08
lastcomm 2 0.27 0.14
sendmai* 3 0.98 0.19
cut 2 0.30 0.11
date 1 0.20 0.05
uname 2 0.12 0.08
atrun 14 0.72 0.47
cron* 14 3.92 0.22
tcsh* 2 0.06 0.03
[ 18 0.23 0.11
