 274 12459.52 1556.47
resource 8 1498.30 1308.23
troff 9 359.17 179.02
grotty 9 357.86 27.64
col 9 364.41 7.72
tcsh 2 4001.00 1.64
more 9 363.34 6.52
cc1 8 5.81 2.78
tbl 9 346.78 2.41
ps 25 9.55 6.14
accton 1 0.33 0.20
cpp 8 2.11 1.17
cc 8 20.33 1.17
ld 8 6.98 1.16
man 9 368.28 1.17
sh 23 369.59 2.36
ls 1 0.36 0.09
awk 10 4.45 0.94
as 8 1.44 0.72
pwd 2 0.55 0.17
grep 11 5.81 0.89
sendmai* 2 1.12 0.16
groff 9 364.27 0.67
lastcomm 2 0.27 0.14
cat 9 331.80 0.55
sh* 9 365.28 0.50
date 20 1.58 0.98
atrun 14 0.80 0.50
sleep 18 3303.78 0.62
cron* 14 4.17 0.20
